Date,Open,High,Low,Close,Adj_Close,Volume,Day
2018-05-09,13.15,13.529167,13.008333,13.496667,13.232987,57498000,1165
2018-05-10,13.625,13.945,13.595,13.916667,13.644783,59503200,1166
2018-05-11,13.845833,13.968333,13.691667,13.875,13.603932,59848800,1167
2018-05-14,13.9625,14.2075,13.875,13.936667,13.664392,54591600,1168
2018-05-15,13.605,13.628333,13.261667,13.485833,13.222366,87260400,1169
2018-05-16,13.516667,13.833333,13.513333,13.734167,13.46585,44856000,1170
2018-05-17,13.594167,13.890833,13.3775,13.579167,13.313877,51609600,1171
2018-05-18,13.424167,13.558333,13.306667,13.361667,13.100625,42733200,1172
2018-05-21,13.668333,13.8525,13.416667,13.595,13.329401,58446000,1173
2018-05-22,13.769167,13.841667,13.465,13.524167,13.259951,48471600,1174
2018-05-23,13.225,13.8725,13.211667,13.864167,13.59331,61522800,1175
2018-05-24,13.86,13.9275,13.435,13.8525,13.581869,35555200,1176
2018-05-25,13.8575,14.04,13.7675,13.8875,13.616187,31540800,1177
2018-05-29,13.6975,13.945,13.4575,13.71,13.442153,47225600,1178
2018-05-30,13.85,14.07,13.7625,14.0025,13.72894,35403200,1179
2018-05-31,13.9825,14.245,13.86,13.9725,13.699525,40528400,1180
2018-06-01,14.1625,14.645,14.1625,14.6225,14.336827,38585600,1181
2018-06-04,14.725,15.025,14.705,14.9975,14.704502,32024800,1182
2018-06-05,15.1175,15.2275,14.9525,15.1525,14.856472,27950000,1183
2018-06-06,15.2,15.415,14.97,15.4025,15.101587,28814000,1184
2018-06-07,15.4225,15.43,14.8075,15.045,14.751074,39226000,1185
2018-06-08,14.8075,15.1,14.7075,15.035,14.741267,24660400,1186
2018-06-11,14.9975,15.265,14.99,15.1525,14.856472,20418000,1187
2018-06-12,15.215,15.4325,15.1675,15.3925,15.091784,23924000,1188
2018-06-13,15.45,15.7325,15.285,15.375,15.074626,36123600,1189
2018-06-14,15.595,15.915,15.5525,15.8425,15.532991,45226400,1190
2018-06-15,15.66,15.7725,15.45,15.685,15.37857,38844800,1191
2018-06-18,15.375,15.6875,15.23,15.65,15.344254,34363200,1192
2018-06-19,15.0475,15.515,14.905,15.51,15.206989,53816800,1193
2018-06-20,15.715,16.032499,15.6825,15.835,15.525639,39822400,1194
2018-06-21,15.945,15.9975,15.3325,15.425,15.123649,51140400,1195
2018-06-22,15.58,15.595,15.1525,15.27,14.971679,31113600,1196
2018-06-25,14.905,14.9675,13.8725,14.295,14.015726,85653200,1197
2018-06-26,14.4325,14.695,14.275,14.4525,14.170149,47082800,1198
2018-06-27,14.635,14.83,13.83,13.8725,13.60148,65919200,1199
2018-06-28,13.805,14.3525,13.7175,14.2125,13.934836,55650000,1200
2018-06-29,14.4175,14.64,14.265,14.2775,13.998567,39268000,1201
2018-07-02,13.915,14.615,13.82,14.5975,14.312315,41648400,1202
2018-07-03,14.755,14.77,14.0575,14.095,13.819633,28212800,1203
2018-07-05,14.3725,14.6475,14.1475,14.6125,14.327023,32811200,1204
2018-07-06,14.7025,15.3225,14.63,15.27,14.971679,37506000,1205
2018-07-09,15.52,15.7125,15.3475,15.695,15.388374,36188800,1206
2018-07-10,15.7625,15.8375,15.57,15.7325,15.425142,33392000,1207
2018-07-11,15.375,15.665,15.3225,15.5025,15.199636,39914800,1208
2018-07-12,15.6925,16.280001,15.66,16.2675,15.949688,40676000,1209
2018-07-13,16.27,16.407499,16.147499,16.315001,15.996264,33938000,1210
2018-07-16,16.327499,16.415001,16.120001,16.205,15.888409,27780000,1211
2018-07-17,15.7,16.6,15.695,16.504999,16.182547,37796800,1212
2018-07-18,16.5,16.547501,16.25,16.4,16.079601,23268800,1213
2018-07-19,16.24,16.389999,16.094999,16.157499,15.841835,38437200,1214
2018-07-20,16.290001,16.4575,16.0825,16.135,15.819779,28698000,1215
2018-07-23,15.9925,16.307501,15.8,16.275,15.957042,31513600,1216
2018-07-24,16.7875,16.9625,16.2875,16.4825,16.160488,47533200,1217
2018-07-25,16.504999,17.202499,16.4925,17.17,16.834558,38620800,1218
2018-07-26,16.48,16.635,16.327499,16.42,16.099211,55944000,1219
2018-07-27,16.709999,16.725,15.445,15.735,15.427594,59049200,1220
2018-07-30,15.7375,15.7525,14.83,15.0575,14.763329,50402800,1221
2018-07-31,15.2175,15.5725,14.9775,15.3575,15.057467,47856000,1222
2018-08-01,15.5,15.7075,15.31,15.5675,15.263366,34650800,1223
2018-08-02,15.225,16.25,15.21,16.1875,15.871251,46121200,1224
2018-08-03,16.272499,16.3475,16.075001,16.3325,16.013418,36066800,1225
2018-08-06,16.3125,16.6425,16.247499,16.6325,16.307558,34034000,1226
2018-08-07,16.762501,16.9,16.6625,16.795,16.466885,35985200,1227
2018-08-08,16.74,16.9625,16.6,16.84,16.511005,31717200,1228
2018-08-09,16.825001,17.025,16.754999,16.825001,16.4963,27265200,1229
2018-08-10,16.49,16.637501,16.254999,16.432501,16.111467,42813200,1230
2018-08-13,16.522499,16.842501,16.362499,16.385,16.064894,46337200,1231
2018-08-14,16.565001,16.747499,16.307501,16.6875,16.361486,30363600,1232
2018-08-15,16.309999,16.450001,15.77,16.08,15.765852,57928800,1233
2018-08-16,16.434999,16.5375,16.1325,16.227501,15.910471,32571200,1234
2018-08-17,16.0975,16.355,15.8025,16.225,15.90802,35131200,1235
2018-08-20,16.342501,16.3575,16,16.192499,15.876156,33730800,1236
2018-08-21,16.334999,16.655001,16.3025,16.360001,16.040384,33534800,1237
2018-08-22,16.25,16.605,16.1975,16.549999,16.226669,31656800,1238
2018-08-23,16.467501,16.815001,16.3925,16.467501,16.145782,35566800,1239
2018-08-24,16.6425,16.967501,16.625,16.924999,16.594343,31978400,1240
2018-08-27,17.1975,17.4375,17.105,17.434999,17.094378,36425600,1241
2018-08-28,17.58,17.6425,17.41,17.512501,17.170368,32612400,1242
2018-08-29,17.602501,18.15,17.5875,18.125,17.770901,32867600,1243
2018-08-30,18.014999,18.34,17.8375,18.022499,17.670401,43931600,1244
2018-08-31,17.955,18.237499,17.8925,18.075001,17.721876,31590000,1245
2018-09-04,17.9175,18.0075,17.557501,17.860001,17.511082,40104800,1246
2018-09-05,17.75,17.7575,16.98,17.15,16.814945,53864800,1247
2018-09-06,17.18,17.2325,16.344999,16.682501,16.356585,57752400,1248
2018-09-07,16.34,16.922501,16.305,16.5175,16.194807,38504800,1249
